Lag,ACF,PACF,ACF_Significant,PACF_Significant
1,0.1989077674153152,0.1989340918948567,True,True
2,0.38553855644445684,0.36032565117659177,True,True
3,0.1920395766877845,0.08538756306261039,True,True
4,0.3104597828588547,0.1691530401363222,True,True
5,0.27259099695642464,0.16282667185502608,True,True
6,0.2552218299657728,0.07291524349004688,True,True
7,0.29753714316714813,0.13561855918987797,True,True
8,0.2203670204946721,0.03894659630712043,True,True
9,0.2747936085803599,0.07038132354310074,True,True
10,0.22784961199783652,0.0548208564914872,True,True
